Address,Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,City,District,class
"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",54.0,4.0,3.5,2.0,2,3,Have certificate,Full,5.35,Hồ Chí Minh,Gò Vấp,0.0
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",92.0,4.0,5.0,2.0,4,4,Have certificate,Full,6.9,Hồ Chí Minh,Gò Vấp,1.0
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",30.0,3.85,5.0,2.0,2,2,Have certificate,Full,3.79,Hồ Chí Minh,Gò Vấp,0.0
"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",46.0,4.6,6.0,4.0,4,5,Have certificate,Full,7.99,Hồ Chí Minh,Gò Vấp,1.0
"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",60.0,3.5,5.0,2.0,6,5,Have certificate,Full,5.6,Hồ Chí Minh,Bình Thạnh,1.0
"Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",55.0,5.0,5.0,2.0,4,3,Have certificate,Basic,3.25,Hồ Chí Minh,Bình Thạnh,0.0
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",67.4,4.0,8.0,5.0,4,6,Have certificate,Basic,9.5,Hồ Chí Minh,Gò Vấp,1.0
"Đường Số 4, Phường 16, Gò Vấp, Hồ Chí Minh",28.0,3.5,3.0,2.0,2,2,Have certificate,Full,3.88,Hồ Chí Minh,Gò Vấp,0.0
"Dự án VSIP 1, Đường D11, Phường An Phú, Thuận An, Bình Dương",150.0,4.4,8.0,2.0,7,1,Have certificate,No furnishings,6.7,Bình Dương,Thuận An,1.0
"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",72.0,5.6,3.5,1.0,4,3,Have certificate,Basic,10.0,Hà Nội,Tây Hồ,1.0
"Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",68.0,5.0,5.0,3.0,4,6,Have certificate,No furnishings,6.5,Hồ Chí Minh,Thủ Đức,1.0
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",43.0,4.0,4.0,3.0,3,3,Have certificate,Full,5.85,Hồ Chí Minh,Gò Vấp,1.0
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88.0,5.5,11.5,5.0,4,4,Have certificate,No furnishings,6.5,Hưng Yên,Yên Mỹ,1.0
"Đường Phú Mỹ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",54.0,5.8,3.0,4.0,6,6,Have certificate,Full,8.8,Hà Nội,Nam Từ Liêm,1.0
"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",36.0,3.8,2.2,5.0,3,4,Have certificate,Basic,3.85,Hà Nội,Hoài Đức,1.0
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",41.0,4.0,3.5,5.0,4,4,Have certificate,Full,10.0,Hà Nội,Cầu Giấy,1.0
"Yên Nghĩa, Hà Đông, Hà Nội",35.0,4.4,3.0,4.0,3,3,Have certificate,Basic,2.9,Hà Nội,Hà Đông,1.0
"Đường Quốc Lộ 17B, Phường Minh Tân, Kinh Môn, Hải Dương",180.0,10.0,5.0,4.0,3,3,Have certificate,Full,5.3,Hải Dương,Kinh Môn,0.0
"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",45.0,5.0,6.0,3.0,3,4,Have certificate,No furnishings,5.95,Hồ Chí Minh,Bình Thạnh,1.0
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90.0,6.0,12.0,2.0,4,3,Sale contract,No furnishings,3.2,Long An,Bến Lức,0.0
"Dự án Vạn Xuân Tam Bình, Đường 7, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",143.9,4.4,10.0,4.0,4,5,Sale contract,No furnishings,9.5,Hồ Chí Minh,Thủ Đức,1.0
"Hẻm 482/9, Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",38.0,4.4,5.0,2.0,1,1,Sale contract,No furnishings,4.1,Hồ Chí Minh,Bình Thạnh,0.0
"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",40.0,4.1,6.0,4.0,3,4,Have certificate,No furnishings,7.7,Hồ Chí Minh,Phú Nhuận,1.0
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",69.1,4.0,4.5,3.0,3,4,Have certificate,Full,10.0,Hồ Chí Minh,Bình Thạnh,1.0
"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",30.0,4.0,6.0,3.0,3,4,Have certificate,Full,7.15,Hồ Chí Minh,Phú Nhuận,1.0
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",73.0,5.0,4.0,4.0,4,4,Sale contract,No furnishings,9.5,Hà Nội,Ba Đình,1.0
"Ngõ 7, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",52.0,4.0,3.0,4.0,4,4,Sale contract,No furnishings,6.5,Hà Nội,Đống Đa,1.0
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",45.0,6.0,3.0,4.0,4,4,Have certificate,No furnishings,7.65,Hà Nội,Đống Đa,1.0
"240/, Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",64.0,4.0,5.0,3.0,4,3,Have certificate,No furnishings,4.7,Hồ Chí Minh,Quận 12,1.0
