Address,Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,City,District
"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",54.0,4.0,3.5,2.0,2,3,Have certificate,Full,5.35,Hồ Chí Minh,Gò Vấp
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",92.0,4.0,5.0,2.0,4,4,Have certificate,Full,6.9,Hồ Chí Minh,Gò Vấp
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",30.0,4.0,5.0,2.0,2,2,Have certificate,Full,3.79,Hồ Chí Minh,Gò Vấp
"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",46.0,4.6,6.0,4.0,4,5,Have certificate,Full,7.99,Hồ Chí Minh,Gò Vấp
"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",60.0,3.5,5.0,2.0,6,5,Have certificate,Full,5.6,Hồ Chí Minh,Bình Thạnh
"Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",55.0,5.0,5.0,2.0,4,3,Have certificate,Basic,3.25,Hồ Chí Minh,Bình Thạnh
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",67.4,4.0,8.0,5.0,4,6,Have certificate,Basic,9.5,Hồ Chí Minh,Gò Vấp
"Đường Số 4, Phường 16, Gò Vấp, Hồ Chí Minh",28.0,4.0,3.0,2.0,2,2,Have certificate,Full,3.88,Hồ Chí Minh,Gò Vấp
"Dự án VSIP 1, Đường D11, Phường An Phú, Thuận An, Bình Dương",150.0,4.2,8.0,2.0,7,1,Have certificate,N/A,6.7,Bình Dương,Thuận An
"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",72.0,5.6,3.5,1.0,4,3,Have certificate,Basic,10.0,Hà Nội,Tây Hồ
"Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",68.0,5.0,5.0,3.0,4,6,Have certificate,N/A,6.5,Hồ Chí Minh,Thủ Đức
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",43.0,4.0,4.0,3.0,3,3,Have certificate,Full,5.85,Hồ Chí Minh,Gò Vấp
"Ngõ 132, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",32.8,4.5,6.0,5.0,4,4,Have certificate,N/A,7.5,Hà Nội,Cầu Giấy
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88.0,5.5,11.5,5.0,4,4,Have certificate,N/A,6.5,Hưng Yên,Yên Mỹ
"Đường Phú Mỹ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",54.0,5.8,3.0,4.0,6,6,Have certificate,Full,8.8,Hà Nội,Nam Từ Liêm
"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",36.0,3.8,2.2,5.0,3,4,Have certificate,Basic,3.85,Hà Nội,Hoài Đức
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",41.0,4.0,3.5,5.0,4,4,Have certificate,Full,10.0,Hà Nội,Cầu Giấy
"Yên Nghĩa, Hà Đông, Hà Nội",35.0,4.2,3.0,4.0,3,3,Have certificate,Basic,2.9,Hà Nội,Hà Đông
"Đường Quốc Lộ 17B, Phường Minh Tân, Kinh Môn, Hải Dương",180.0,10.0,5.0,4.0,3,3,Have certificate,Full,5.3,Hải Dương,Kinh Môn
"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",45.0,5.0,6.0,3.0,3,4,Have certificate,N/A,5.95,Hồ Chí Minh,Bình Thạnh
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90.0,6.0,12.0,2.0,4,3,Sale contract,N/A,3.2,Long An,Bến Lức
"Dự án Vạn Xuân Tam Bình, Đường 7, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",143.9,4.2,10.0,4.0,4,5,Sale contract,N/A,9.5,Hồ Chí Minh,Thủ Đức
"Hẻm 482/9, Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",38.0,4.2,5.0,2.0,1,1,Sale contract,N/A,4.1,Hồ Chí Minh,Bình Thạnh
"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",40.0,4.1,6.0,4.0,3,4,Have certificate,N/A,7.7,Hồ Chí Minh,Phú Nhuận
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",69.1,4.0,4.5,3.0,3,4,Have certificate,Full,10.0,Hồ Chí Minh,Bình Thạnh
"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",30.0,4.7,6.0,3.0,3,4,Have certificate,Full,7.15,Hồ Chí Minh,Phú Nhuận
"Ngõ 401, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",52.7,7.0,3.0,5.0,6,3,Sale contract,Full,7.6,Hà Nội,Bắc Từ Liêm
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",73.0,5.0,4.0,4.0,4,4,Sale contract,N/A,9.5,Hà Nội,Ba Đình
"Ngõ 7, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",52.0,4.0,3.0,4.0,4,4,Sale contract,N/A,6.5,Hà Nội,Đống Đa
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",45.0,6.0,3.0,4.0,4,4,Have certificate,N/A,7.65,Hà Nội,Đống Đa
"240/, Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",64.0,4.0,5.0,3.0,4,3,Have certificate,N/A,4.7,Hồ Chí Minh,Quận 12
"Đường Nguyễn Trãi, Phường Nhân Chính, Thanh Xuân, Hà Nội",50.0,3.7,3.5,5.0,7,6,Have certificate,N/A,8.9,Hà Nội,Thanh Xuân
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",36.0,7.0,3.0,5.0,3,4,Have certificate,Full,5.6,Hà Nội,Nam Từ Liêm
"Dự án Dream Home Palace, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",156.0,10.0,10.0,2.0,1,1,Sale contract,N/A,7.8,Hồ Chí Minh,Quận 8
"Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",99.4,4.0,5.0,2.0,1,2,Have certificate,Full,9.5,Hà Nội,Nam Từ Liêm
"Đường Mỗ Lao, Phường Văn Quán, Hà Đông, Hà Nội",33.0,4.2,5.0,5.0,1,1,Have certificate,Basic,4.95,Hà Nội,Hà Đông
"Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",34.0,4.0,2.0,4.0,3,3,Sale contract,Full,2.9,Hà Nội,Hà Đông
